,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
log_lik[111],-1.06929,0.00151599,0.0548707,0.0562506,-1.16297,-1.06794,-0.980661,1324.47,1544.9,1447.51,1.00192
log_lik[112],-1.65375,0.000301724,0.0119193,0.0097352,-1.67766,-1.65024,-1.64221,1413.68,2397.53,1545.01,1.00246
log_lik[113],-1.05733,0.00155269,0.0562137,0.0576485,-1.15317,-1.05602,-0.9664,1324.47,1544.9,1447.51,1.00192
log_lik[114],-1.10965,0.00139214,0.0503397,0.0514858,-1.19606,-1.10814,-1.02879,1324.47,1544.9,1447.51,1.00192
log_lik[115],-2.31295,0.00231463,0.0854872,0.0862549,-2.46378,-2.30695,-2.18267,1324.47,1544.9,1447.51,1.00192
log_lik[116],-1.2367,0.00100273,0.0361001,0.0367293,-1.30024,-1.23473,-1.18031,1324.47,1544.9,1447.51,1.00192
log_lik[117],-1.06929,0.00151599,0.0548707,0.0562506,-1.16297,-1.06794,-0.980661,1324.47,1544.9,1447.51,1.00192
log_lik[118],-1.05733,0.00155269,0.0562137,0.0576485,-1.15317,-1.05602,-0.9664,1324.47,1544.9,1447.51,1.00192
log_lik[119],-1.05733,0.00155269,0.0562137,0.0576485,-1.15317,-1.05602,-0.9664,1324.47,1544.9,1447.51,1.00192
log_lik[120],-1.10965,0.00139214,0.0503397,0.0514858,-1.19606,-1.10814,-1.02879,1324.47,1544.9,1447.51,1.00192
log_lik[121],-1.06929,0.00151599,0.0548707,0.0562506,-1.16297,-1.06794,-0.980661,1324.47,1544.9,1447.51,1.00192
log_lik[122],-1.05733,0.00155269,0.0562137,0.0576485,-1.15317,-1.05602,-0.9664,1324.47,1544.9,1447.51,1.00192
log_lik[123],-1.06929,0.00151599,0.0548707,0.0562506,-1.16297,-1.06794,-0.980661,1324.47,1544.9,1447.51,1.00192
log_lik[124],-1.05733,0.00155269,0.0562137,0.0576485,-1.15317,-1.05602,-0.9664,1324.47,1544.9,1447.51,1.00192
log_lik[125],-1.77931,0.000678438,0.0256299,0.0246513,-1.8274,-1.77531,-1.74513,1324.38,1544.9,1447.42,1.00191
log_lik[126],-1.65375,0.000301724,0.0119193,0.0097352,-1.67766,-1.65024,-1.64221,1413.68,2397.53,1545.01,1.00246
log_lik[127],-1.65375,0.000301724,0.0119193,0.0097352,-1.67766,-1.65024,-1.64221,1413.68,2397.53,1545.01,1.00246
log_lik[128],-1.77931,0.000678438,0.0256299,0.0246513,-1.8274,-1.77531,-1.74513,1324.38,1544.9,1447.42,1.00191
log_lik[129],-1.77931,0.000678438,0.0256299,0.0246513,-1.8274,-1.77531,-1.74513,1324.38,1544.9,1447.42,1.00191
log_lik[130],-1.30845,0.000783427,0.0280912,0.0284865,-1.35907,-1.30621,-1.26588,1324.47,1544.9,1447.51,1.00192
log_lik[131],-1.48783,0.000246275,0.00868216,0.00675035,-1.50614,-1.48497,-1.47963,1339.82,1544.9,1464.29,1.00117
log_lik[132],-1.77931,0.000678438,0.0256299,0.0246513,-1.8274,-1.77531,-1.74513,1324.38,1544.9,1447.42,1.00191
log_lik[133],-1.30845,0.000783427,0.0280912,0.0284865,-1.35907,-1.30621,-1.26588,1324.47,1544.9,1447.51,1.00192
log_lik[134],-1.39216,0.000529039,0.0188265,0.0186521,-1.4277,-1.3896,-1.3657,1324.47,1544.9,1447.51,1.00192
log_lik[135],-2.99307,0.00440554,0.162046,0.163828,-3.27487,-2.98454,-2.74031,1324.47,1544.9,1447.51,1.00192
log_lik[136],-1.05733,0.00155269,0.0562137,0.0576485,-1.15317,-1.05602,-0.9664,1324.47,1544.9,1447.51,1.00192
log_lik[137],-1.39216,0.000529039,0.0188265,0.0186521,-1.4277,-1.3896,-1.3657,1324.47,1544.9,1447.51,1.00192
log_lik[138],-1.39216,0.000529039,0.0188265,0.0186521,-1.4277,-1.3896,-1.3657,1324.47,1544.9,1447.51,1.00192
log_lik[139],-1.91683,0.00109862,0.040985,0.0405415,-1.99139,-1.91231,-1.85788,1324.47,1544.9,1447.51,1.00192
log_lik[140],-1.39216,0.000529039,0.0188265,0.0186521,-1.4277,-1.3896,-1.3657,1324.47,1544.9,1447.51,1.00192
log_lik[141],-1.77931,0.000678438,0.0256299,0.0246513,-1.8274,-1.77531,-1.74513,1324.38,1544.9,1447.42,1.00191
log_lik[142],-1.10965,0.00139214,0.0503397,0.0514858,-1.19606,-1.10814,-1.02879,1324.47,1544.9,1447.51,1.00192
log_lik[143],-2.31295,0.00231463,0.0854872,0.0862549,-2.46378,-2.30695,-2.18267,1324.47,1544.9,1447.51,1.00192
log_lik[144],-1.39216,0.000529039,0.0188265,0.0186521,-1.4277,-1.3896,-1.3657,1324.47,1544.9,1447.51,1.00192
log_lik[145],-1.39216,0.000529039,0.0188265,0.0186521,-1.4277,-1.3896,-1.3657,1324.47,1544.9,1447.51,1.00192
log_lik[146],-1.48783,0.000246275,0.00868216,0.00675035,-1.50614,-1.48497,-1.47963,1339.82,1544.9,1464.29,1.00117
log_lik[147],-1.05733,0.00155269,0.0562137,0.0576485,-1.15317,-1.05602,-0.9664,1324.47,1544.9,1447.51,1.00192
log_lik[148],-1.77931,0.000678438,0.0256299,0.0246513,-1.8274,-1.77531,-1.74513,1324.38,1544.9,1447.42,1.00191
log_lik[149],-1.48783,0.000246275,0.00868216,0.00675035,-1.50614,-1.48497,-1.47963,1339.82,1544.9,1464.29,1.00117
log_lik[150],-1.39216,0.000529039,0.0188265,0.0186521,-1.4277,-1.3896,-1.3657,1324.47,1544.9,1447.51,1.00192
log_lik[151],-1.05733,0.00155269,0.0562137,0.0576485,-1.15317,-1.05602,-0.9664,1324.47,1544.9,1447.51,1.00192
log_lik[152],-1.1515,0.00126377,0.045644,0.0466012,-1.23038,-1.14984,-1.0787,1324.47,1544.9,1447.51,1.00192
log_lik[153],-1.65375,0.000301724,0.0119193,0.0097352,-1.67766,-1.65024,-1.64221,1413.68,2397.53,1545.01,1.00246
y_rep[1],3.18773,0.0186127,1.15051,1.12648,1.26603,3.2001,5.10598,3838.63,3862.84,4195.22,0.999841
y_rep[2],2.27594,0.0185723,1.154,1.1711,0.402864,2.27244,4.16445,3866.9,3927.81,4226.12,1.00045
y_rep[3],4.08375,0.0184888,1.1557,1.1266,2.15504,4.10056,5.94966,3922.34,3838.74,4286.71,1.00002
y_rep[4],4.93045,0.018687,1.17475,1.15097,2.99395,4.9373,6.83615,3976.79,3930.24,4346.22,0.999602
y_rep[5],4.0528,0.0183144,1.1384,1.11889,2.22009,4.05684,5.89791,3864.51,3890.58,4223.5,1.0006
y_rep[6],5.81103,0.0188251,1.15579,1.16459,3.90446,5.80772,7.71435,3805.06,3890.6,4158.54,1.00122
y_rep[7],2.73701,0.0182352,1.15754,1.14765,0.848293,2.73217,4.6662,4081.45,3765.17,4460.6,0.999937
y_rep[8],3.19221,0.0177382,1.13612,1.12933,1.29429,3.18433,5.06238,4102.94,4014.3,4484.08,1.00014
y_rep[9],2.7727,0.0185675,1.15452,1.13169,0.85684,2.77886,4.62964,3874.21,3998.16,4234.11,0.999666
y_rep[10],5.83314,0.017773,1.14961,1.14481,3.96605,5.83288,7.73303,4186.68,3830.31,4575.6,1.00009
y_rep[11],5.80203,0.0185446,1.15866,1.14885,3.90957,5.78978,7.74449,3920.87,3890.73,4285.11,0.999654
y_rep[12],6.23774,0.0180045,1.13267,1.13796,4.38178,6.23697,8.11275,3968.89,3926.06,4337.59,1.00176
y_rep[13],4.50155,0.0176994,1.12797,1.15417,2.65057,4.51481,6.34831,4071.68,3899.11,4449.93,0.999895
y_rep[14],4.06105,0.018481,1.1293,1.11459,2.20161,4.04251,5.9591,3772.93,3852.32,4123.42,1.00041
y_rep[15],3.63239,0.0182105,1.1483,1.13187,1.77422,3.63014,5.51717,3990.62,3938.97,4361.33,1.00049
y_rep[16],3.19287,0.0183766,1.16086,1.15068,1.24929,3.21548,5.11172,4014.9,3749.01,4387.87,1.00013
y_rep[17],4.05651,0.018223,1.1496,1.13837,2.10128,4.06707,5.93659,3984.18,3790.0,4354.3,0.999775
y_rep[18],4.95797,0.0179474,1.16913,1.15642,3.04906,4.9483,6.92696,4250.18,3917.23,4645.01,1.00032
y_rep[19],3.14549,0.0176221,1.14735,1.13407,1.31523,3.14259,4.99653,4241.98,3812.14,4636.04,1.0
y_rep[20],6.67044,0.0185335,1.16309,1.15983,4.75126,6.67432,8.55468,3941.33,3620.24,4307.46,1.00035
y_rep[21],3.65581,0.0183847,1.1395,1.15383,1.78348,3.6505,5.55942,3828.42,3525.13,4184.06,0.999721
y_rep[22],3.63943,0.0187932,1.15977,1.16032,1.75613,3.62087,5.5606,3827.59,3840.79,4183.16,0.999795
y_rep[23],4.06812,0.0180811,1.14502,1.13419,2.22135,4.05905,5.95706,4012.0,3688.18,4384.7,0.999995
y_rep[24],5.83389,0.0178894,1.13524,1.14124,3.93705,5.84254,7.67505,4036.43,3888.27,4411.4,1.00026
y_rep[25],4.91666,0.018705,1.15869,1.17598,3.03021,4.90121,6.8175,3854.92,3757.35,4213.03,1.00187
y_rep[26],3.17114,0.018375,1.163,1.15421,1.27553,3.16393,5.07775,4003.95,3735.76,4375.9,1.00047
y_rep[27],4.08481,0.0219325,1.14393,1.1397,2.22542,4.07251,5.97106,2954.36,3672.7,3228.81,1.00224
y_rep[28],4.93091,0.0182845,1.14658,1.13273,3.02574,4.94085,6.83081,3956.24,3805.2,4323.76,1.00057
y_rep[29],5.37238,0.0182262,1.14359,1.1349,3.50745,5.35514,7.27487,3942.07,3891.36,4308.27,1.00068
y_rep[30],6.70226,0.0181654,1.15599,1.1428,4.80305,6.6884,8.58899,4049.66,3930.76,4425.86,0.999681
y_rep[31],4.0966,0.0181151,1.14814,1.13258,2.19396,4.10012,5.98394,4022.43,3891.81,4396.1,1.00013
y_rep[32],3.2053,0.018,1.13684,1.12811,1.36274,3.18452,5.12552,3991.76,4099.32,4362.58,1.00016
y_rep[33],3.18501,0.0179322,1.13916,1.1,1.28123,3.17246,5.05353,4058.77,3848.3,4435.82,1.00037
y_rep[34],4.09206,0.0184519,1.1488,1.14443,2.17111,4.11215,5.93597,3906.78,4001.2,4269.71,1.00004
y_rep[35],4.0541,0.0182828,1.14815,1.16534,2.12245,4.04727,5.90907,3957.78,3855.72,4325.44,1.00001
y_rep[36],4.47832,0.0187814,1.16022,1.19634,2.57503,4.47253,6.39483,3842.76,3750.58,4199.74,1.00047
y_rep[37],4.93854,0.0181931,1.15415,1.16919,3.02104,4.96086,6.812,4042.18,3906.71,4417.69,0.999482
y_rep[38],4.95018,0.0176723,1.14057,1.11235,3.09065,4.94725,6.84992,4178.83,3774.22,4567.02,0.999689
y_rep[39],2.75707,0.0183791,1.16091,1.15489,0.859782,2.76541,4.69483,4004.68,3971.69,4376.7,1.00018
y_rep[40],5.81555,0.0179759,1.14227,1.16263,3.94711,5.81074,7.69519,4066.12,3739.0,4443.85,0.999818
y_rep[41],4.07933,0.0181406,1.14244,1.12256,2.18274,4.0611,5.98368,3983.99,4110.03,4354.09,1.00041
y_rep[42],4.05413,0.0177994,1.15895,1.13015,2.09147,4.06666,5.9164,4258.2,3811.99,4653.77,0.999767
y_rep[43],4.93281,0.0188785,1.16467,1.15883,3.0357,4.89175,6.87009,3807.73,3888.68,4161.46,0.999669
y_rep[44],4.94163,0.0183246,1.157,1.15312,3.05513,4.94313,6.87207,4002.85,3810.91,4374.7,1.00007
y_rep[45],4.52725,0.018161,1.13254,1.12727,2.64296,4.51861,6.37486,3919.31,3852.67,4283.4,1.00041
y_rep[46],4.92738,0.0191185,1.15062,1.15299,2.99906,4.9334,6.79834,3658.51,3723.8,3998.37,1.00032
y_rep[47],5.78744,0.0180456,1.15727,1.1515,3.88999,5.79944,7.70334,4116.71,3832.44,4499.14,0.999798
y_rep[48],6.67618,0.0187441,1.1706,1.15613,4.6969,6.68194,8.52582,3881.73,3699.64,4242.33,1.00031
y_rep[49],4.07962,0.0183286,1.16709,1.15294,2.13566,4.06797,6.02375,4083.55,3800.38,4462.89,0.999906
y_rep[50],4.03141,0.0179908,1.1691,1.15763,2.07546,4.03343,5.89445,4230.09,3931.13,4623.05,1.0008
y_rep[51],6.68541,0.0188811,1.15312,1.14132,4.74571,6.6981,8.57366,3752.79,3510.86,4101.41,1.00043
y_rep[52],5.37863,0.0188431,1.15404,1.17184,3.52798,5.35655,7.30699,3837.82,3877.2,4194.34,1.00009
y_rep[53],4.0734,0.0183726,1.14914,1.18074,2.18364,4.09185,5.96019,3913.52,3892.17,4277.07,1.00061
y_rep[54],4.94964,0.0172084,1.10984,1.1205,3.09003,4.96748,6.73112,4171.69,3820.5,4559.22,0.999924
y_rep[55],5.82645,0.0199165,1.17027,1.14009,3.86889,5.83966,7.75543,3479.96,3715.66,3803.24,1.00044
y_rep[56],4.05706,0.0186421,1.15192,1.17073,2.17883,4.06361,5.92949,3802.6,3584.48,4155.85,1.00084
y_rep[57],5.81394,0.0187054,1.16986,1.11984,3.85503,5.82533,7.74155,3918.37,3956.03,4282.37,1.0002
y_rep[58],4.9375,0.0189504,1.1379,1.15393,3.06686,4.91952,6.81057,3627.33,3580.64,3964.3,0.999797
y_rep[59],4.94306,0.018541,1.15074,1.15707,3.00144,4.94517,6.80484,3898.21,3600.08,4260.34,0.99975
y_rep[60],4.50178,0.0185531,1.16434,1.13259,2.56174,4.48687,6.39508,3961.98,3997.5,4330.03,1.00077
y_rep[61],6.22789,0.0180745,1.14786,1.15999,4.36045,6.23543,8.10025,4054.68,4015.0,4431.35,1.0011
y_rep[62],5.42582,0.0186046,1.14996,1.14403,3.56056,5.4136,7.28886,3866.72,3604.74,4225.92,1.00053
y_rep[63],2.29673,0.0180155,1.13844,1.13397,0.42704,2.29086,4.17894,4006.93,3918.1,4379.16,1.00063
y_rep[64],4.52662,0.0192981,1.1738,1.14533,2.60428,4.51724,6.45339,3715.23,3814.03,4060.36,1.00049
y_rep[65],5.33046,0.0183325,1.16173,1.17462,3.41009,5.34603,7.25048,4016.61,3853.13,4389.74,0.999447
y_rep[66],6.235,0.0182987,1.16327,1.16632,4.30811,6.25738,8.12726,4056.57,3773.21,4433.41,0.999676
y_rep[67],4.93436,0.0180305,1.14339,1.15572,3.05335,4.95093,6.80585,4021.92,3848.53,4395.54,1.00083
y_rep[68],4.49023,0.0181316,1.12007,1.13896,2.67196,4.47608,6.31562,3839.7,3561.7,4196.4,1.00036
y_rep[69],3.61174,0.0178533,1.12193,1.14492,1.75973,3.6119,5.43518,3962.63,3730.59,4330.75,0.9998
y_rep[70],5.81769,0.0187553,1.15479,1.17795,3.95986,5.80948,7.70655,3798.36,3602.94,4151.21,1.00008
y_rep[71],5.83223,0.0183325,1.1451,1.15489,3.93931,5.81856,7.71595,3918.35,3788.74,4282.35,1.00032
y_rep[72],5.35298,0.0182256,1.16097,1.161,3.42329,5.35368,7.23206,4058.8,3751.55,4435.84,1.0019
y_rep[73],4.06863,0.0192098,1.14308,1.13701,2.15052,4.08268,5.96845,3568.35,3949.57,3899.83,1.00009
y_rep[74],2.35265,0.0185015,1.15447,1.17204,0.438159,2.37186,4.19136,3908.98,3414.28,4272.11,1.00029
y_rep[75],4.03207,0.0178665,1.1566,1.1513,2.06298,4.01942,5.9486,4190.72,3855.95,4580.02,0.999625
y_rep[76],4.05057,0.0187789,1.16706,1.18089,2.13815,4.06258,5.93541,3870.25,3780.62,4229.78,1.0002
y_rep[77],2.73792,0.0180407,1.14232,1.11804,0.843835,2.73579,4.59413,4008.03,3964.91,4380.36,0.999936
y_rep[78],6.23831,0.0188107,1.16198,1.16249,4.31036,6.2228,8.1519,3857.87,3869.31,4216.25,1.00099
y_rep[79],4.04825,0.0181371,1.15274,1.15988,2.15774,4.04249,5.96823,4048.92,4066.89,4425.05,0.999246
y_rep[80],5.81869,0.0184681,1.14334,1.12707,3.89888,5.82267,7.71972,3847.4,3774.6,4204.81,1.00071
y_rep[81],4.92622,0.0184013,1.16899,1.1294,2.96885,4.94378,6.89145,4041.07,4055.8,4416.47,1.00056
y_rep[82],4.51813,0.0183348,1.13728,1.125,2.64662,4.51279,6.42511,3854.22,3971.4,4212.26,1.00079
y_rep[83],6.26124,0.0177814,1.13459,1.14505,4.41692,6.28489,8.08499,4078.55,3763.96,4457.43,0.999902
