,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
mu[120],4.72413,0.000918839,0.0496431,0.0467361,4.63388,4.72899,4.7968,2866.81,2649.34,1457.45,1.00027
mu[121],3.679,0.00191229,0.0945358,0.0936621,3.52148,3.68047,3.83376,2485.84,1819.11,1263.77,1.00146
mu[122],3.71202,0.00190426,0.0960172,0.0965557,3.55496,3.7126,3.86487,2647.56,2008.11,1345.99,1.00195
mu[123],4.80669,0.000872091,0.0437318,0.0424546,4.7414,4.8032,4.88553,2548.58,2543.25,1295.67,1.00032
mu[124],4.22633,0.00063743,0.0315119,0.0312207,4.17383,4.22682,4.27792,2485.84,1819.11,1263.77,1.00146
mu[125],4.72413,0.000918839,0.0496431,0.0467361,4.63388,4.72899,4.7968,2866.81,2649.34,1457.45,1.00027
mu[126],4.8232,0.00106474,0.0542432,0.0511373,4.74744,4.81567,4.92359,2566.56,2537.41,1304.81,1.00025
mu[127],4.1768,0.00106474,0.0542432,0.0511373,4.07641,4.18433,4.25256,2566.56,2537.41,1304.81,1.00025
mu[128],4.72413,0.000918839,0.0496431,0.0467361,4.63388,4.72899,4.7968,2866.81,2649.34,1457.45,1.00027
mu[129],4.27587,0.000918839,0.0496431,0.0467361,4.2032,4.27101,4.36612,2866.81,2649.34,1457.45,1.00027
mu[130],3.679,0.00191229,0.0945358,0.0936621,3.52148,3.68047,3.83376,2485.84,1819.11,1263.77,1.00146
mu[131],4.22633,0.00063743,0.0315119,0.0312207,4.17383,4.22682,4.27792,2485.84,1819.11,1263.77,1.00146
mu[132],4.27587,0.000918839,0.0496431,0.0467361,4.2032,4.27101,4.36612,2866.81,2649.34,1457.45,1.00027
mu[133],4.80669,0.000872091,0.0437318,0.0424546,4.7414,4.8032,4.88553,2548.58,2543.25,1295.67,1.00032
mu[134],4.25936,0.000753526,0.0399234,0.0387268,4.19762,4.25736,4.32829,2859.4,2621.85,1453.69,1.00092
mu[135],4.8232,0.00106474,0.0542432,0.0511373,4.74744,4.81567,4.92359,2566.56,2537.41,1304.81,1.00025
mu[136],4.25936,0.000753526,0.0399234,0.0387268,4.19762,4.25736,4.32829,2859.4,2621.85,1453.69,1.00092
mu[137],4.22633,0.00063743,0.0315119,0.0312207,4.17383,4.22682,4.27792,2485.84,1819.11,1263.77,1.00146
mu[138],4.22633,0.00063743,0.0315119,0.0312207,4.17383,4.22682,4.27792,2485.84,1819.11,1263.77,1.00146
mu[139],3.72853,0.00195039,0.0996522,0.100201,3.56732,3.72831,3.89107,2705.46,2205.97,1375.43,1.00212
mu[140],4.22633,0.00063743,0.0315119,0.0312207,4.17383,4.22682,4.27792,2485.84,1819.11,1263.77,1.00146
mu[141],4.72413,0.000918839,0.0496431,0.0467361,4.63388,4.72899,4.7968,2866.81,2649.34,1457.45,1.00027
mu[142],4.27587,0.000918839,0.0496431,0.0467361,4.2032,4.27101,4.36612,2866.81,2649.34,1457.45,1.00027
mu[143],3.679,0.00191229,0.0945358,0.0936621,3.52148,3.68047,3.83376,2485.84,1819.11,1263.77,1.00146
mu[144],4.77367,0.00063743,0.0315119,0.0312207,4.72208,4.77318,4.82617,2485.84,1819.11,1263.77,1.00146
mu[145],4.25936,0.000753526,0.0399234,0.0387268,4.19762,4.25736,4.32829,2859.4,2621.85,1453.69,1.00092
