,Mean,MCSE,StdDev,MAD,5%,50%,95%,ESS_bulk,ESS_tail,ESS_bulk/s,R_hat
mu[126],5.00755,0.00209804,0.106492,0.0951152,4.87453,4.98633,5.2198,2128.25,2306.61,1184.99,1.00019
mu[127],5.74523,0.00265508,0.125026,0.118671,5.54912,5.73916,5.959,2274.61,2653.25,1266.49,1.0003
mu[128],4.80939,0.00102145,0.0637228,0.0598572,4.69218,4.81894,4.89705,3423.87,2945.94,1906.39,1.00037
mu[129],4.88865,0.000637242,0.0314298,0.0320721,4.83521,4.8901,4.93871,2328.65,1897.21,1296.57,1.00033
mu[130],5.66596,0.00191173,0.0942895,0.0962164,5.50564,5.67029,5.81612,2328.65,1897.21,1296.57,1.00033
mu[131],4.11135,0.000637242,0.0314298,0.0320721,4.06129,4.1099,4.16479,2328.65,1897.21,1296.57,1.00033
mu[132],5.5867,0.00171215,0.100643,0.102422,5.41187,5.59115,5.74532,3437.05,2981.36,1913.73,1.00097
mu[133],7.14132,0.00404614,0.214416,0.214895,6.77389,7.15125,7.47919,2715.9,2532.69,1512.19,1.00022
mu[134],6.44327,0.00318621,0.157149,0.160361,6.17607,6.45048,6.69353,2328.65,1897.21,1296.57,1.00033
mu[135],6.44327,0.00318621,0.157149,0.160361,6.17607,6.45048,6.69353,2328.65,1897.21,1296.57,1.00033
mu[136],6.44327,0.00318621,0.157149,0.160361,6.17607,6.45048,6.69353,2328.65,1897.21,1296.57,1.00033
mu[137],5.74523,0.00265508,0.125026,0.118671,5.54912,5.73916,5.959,2274.61,2653.25,1266.49,1.0003
mu[138],5.74523,0.00265508,0.125026,0.118671,5.54912,5.73916,5.959,2274.61,2653.25,1266.49,1.0003
mu[139],5.54707,0.00188316,0.117221,0.11632,5.34151,5.55332,5.72627,3747.29,3015.37,2086.46,1.00194
mu[140],3.45293,0.00188316,0.117221,0.11632,3.27373,3.44668,3.65849,3747.29,3015.37,2086.46,1.00194
mu[141],6.36401,0.00283208,0.155243,0.155119,6.09727,6.37008,6.6078,2934.39,2827.02,1633.85,1.00024
mu[142],5.54707,0.00188316,0.117221,0.11632,5.34151,5.55332,5.72627,3747.29,3015.37,2086.46,1.00194
mu[143],6.44327,0.00318621,0.157149,0.160361,6.17607,6.45048,6.69353,2328.65,1897.21,1296.57,1.00033
mu[144],4.80939,0.00102145,0.0637228,0.0598572,4.69218,4.81894,4.89705,3423.87,2945.94,1906.39,1.00037
mu[145],5.54707,0.00188316,0.117221,0.11632,5.34151,5.55332,5.72627,3747.29,3015.37,2086.46,1.00194
mu[146],4.23024,0.00157262,0.0926788,0.0853761,4.11072,4.21151,4.41002,2847.76,2720.55,1585.61,1.0001
mu[147],5.00755,0.00209804,0.106492,0.0951152,4.87453,4.98633,5.2198,2128.25,2306.61,1184.99,1.00019
mu[148],6.36401,0.00283208,0.155243,0.155119,6.09727,6.37008,6.6078,2934.39,2827.02,1633.85,1.00024
mu[149],6.44327,0.00318621,0.157149,0.160361,6.17607,6.45048,6.69353,2328.65,1897.21,1296.57,1.00033
mu[150],6.44327,0.00318621,0.157149,0.160361,6.17607,6.45048,6.69353,2328.65,1897.21,1296.57,1.00033
mu[151],6.44327,0.00318621,0.157149,0.160361,6.17607,6.45048,6.69353,2328.65,1897.21,1296.57,1.00033
mu[152],5.66596,0.00191173,0.0942895,0.0962164,5.50564,5.67029,5.81612,2328.65,1897.21,1296.57,1.00033
mu[153],6.32438,0.00282003,0.163691,0.166065,6.04325,6.33216,6.58379,3316.6,2743.21,1846.66,1.00092
log_lik[1],-1.30472,0.00129618,0.0672083,0.0654815,-1.41762,-1.30164,-1.2014,2722.69,2796.47,1515.97,1.00163
log_lik[2],-1.37966,0.000925264,0.0506196,0.0494705,-1.46015,-1.38251,-1.29278,2967.65,2646.7,1652.37,1.00068
log_lik[3],-1.51206,0.000909512,0.0454862,0.0438644,-1.57869,-1.51743,-1.4302,2363.08,2286.18,1315.74,1.00064
log_lik[4],-1.23308,0.00112243,0.0562456,0.0586138,-1.32503,-1.23251,-1.14011,2543.7,2340.51,1416.32,1.00176
log_lik[5],-1.63719,0.00115882,0.0669767,0.0594784,-1.76623,-1.62368,-1.55226,2915.52,2562.74,1623.34,1.00023
log_lik[6],-1.33699,0.0012065,0.0580458,0.0598721,-1.43131,-1.3368,-1.24145,2314.01,2026.68,1288.43,1.00096
log_lik[7],-1.24423,0.00111275,0.0557928,0.0586514,-1.33673,-1.2435,-1.15303,2552.14,2211.36,1421.01,1.00201
log_lik[8],-2.46401,0.00193526,0.0982584,0.0985139,-2.63834,-2.45516,-2.31603,2481.06,2220.44,1381.43,1.0012
log_lik[9],-1.34599,0.00141413,0.0773271,0.0756632,-1.48163,-1.34155,-1.22941,3047.58,3367.06,1696.87,1.001
log_lik[10],-1.23308,0.00112243,0.0562456,0.0586138,-1.32503,-1.23251,-1.14011,2543.7,2340.51,1416.32,1.00176
log_lik[11],-1.33082,0.00134303,0.0717924,0.0714744,-1.45611,-1.32639,-1.22186,2903.25,2987.69,1616.51,1.00165
